Code,Family,Species,Sex,Location,Total_body_length,Prosoma_length,Prosoma_width,Prosoma_height,Tibia_I_length,Fang_length
NMH2950,Dysderidae,Dysdera_nsp2_marmorata,male,Canary Is.,5.530,_,_,_,_,_
NMH2952,Dysderidae,Dysdera_nsp2_marmorata,male,Canary Is.,4.150,_,_,_,_,_
NMH2949,Dysderidae,Dysdera_nsp2_marmorata,male,Canary Is.,4.700,2.250,1.850,0.820,1.200,0.969
NMH2953,Dysderidae,Dysdera_nsp2_marmorata,male,Canary Is.,4.650,_,_,_,_,_
NMH2554,Dysderidae,Dysdera_nsp2_marmorata,female,Canary Is.,6.050,_,_,_,_,_
NMH2946,Dysderidae,Dysdera_nsp2_marmorata,female,Canary Is.,6.250,2.750,2.150,0.750,1.250,1.406
NMH2947,Dysderidae,Dysdera_nsp2_marmorata,female,Canary Is.,5.900,_,_,_,_,_
NMH2948,Dysderidae,Dysdera_nsp2_marmorata,female,Canary Is.,5.950,_,_,_,_,_
NMH1776,Dysderidae,Dysdera_ramblae,male,Canary Is.,9.800,4.000,_,_,_,_
NMH1873,Dysderidae,Dysdera_ramblae,male,Canary Is.,8.900,3.950,_,_,_,_
NMH1874,Dysderidae,Dysdera_ramblae,male,Canary Is.,8.600,4.000,3.250,0.800,2.800,0.910
NMH3379,Dysderidae,Dysdera_ramblae,female,Canary Is.,9.800,4.850,3.950,1.000,2.900,1.090
NMH1851,Dysderidae,Dysdera_ramblae,female,Canary Is.,10.300,5.000,_,_,_,_
NMH1900,Dysderidae,Dysdera_silvatica,male,Canary Is.,10.700,5.000,4.000,1.100,4.100,1.630
NMH1832,Dysderidae,Dysdera_silvatica,female,Canary Is.,12.300,6.000,_,_,_,_
NMH1469,Dysderidae,Dysdera_silvatica,female,Canary Is.,12.100,5.900,4.700,1.000,_,1.750
NMH1898,Dysderidae,Dysdera_silvatica,female,Canary Is.,10.100,6.200,_,1.100,3.400,_
4021,Dysderidae,Dysdera_verneaui,male,Canary Is.,8.529,3.824,2.941,1.045,2.529,1.118
4021,Dysderidae,Dysdera_verneaui,male,Canary Is.,8.235,3.647,3.000,0.864,2.412,1.088
4021,Dysderidae,Dysdera_verneaui,male,Canary Is.,8.353,3.941,3.353,0.909,2.471,1.118
4021,Dysderidae,Dysdera_verneaui,male,Canary Is.,8.118,3.588,3.000,0.818,2.294,1.088
4021,Dysderidae,Dysdera_verneaui,male,Canary Is.,9.412,3.824,3.118,1.000,2.294,1.235
452,Dysderidae,Dysdera_verneaui,female,Canary Is.,9.059,4.647,3.882,1.182,2.824,1.382
471,Dysderidae,Dysdera_verneaui,female,Canary Is.,9.059,4.235,3.412,1.045,2.471,1.176
697,Dysderidae,Dysdera_verneaui,female,Canary Is.,9.706,4.471,3.706,0.909,2.529,1.265
4021,Dysderidae,Dysdera_verneaui,female,Canary Is.,10.176,4.000,3.412,1.091,2.471,1.206
671,Theridiidae,Echinotheridion_gibberosum,male,Canary Is.,1.235,0.529,0.471,0.176,0.588,0.061
3302,Theridiidae,Echinotheridion_gibberosum,male,Canary Is.,1.206,0.529,0.441,0.206,0.706,0.061
3302,Theridiidae,Echinotheridion_gibberosum,male,Canary Is.,1.235,0.559,0.500,0.206,0.588,0.061
4057,Theridiidae,Echinotheridion_gibberosum,male,Canary Is.,1.147,0.529,0.441,0.206,0.324,_
4057,Theridiidae,Echinotheridion_gibberosum,male,Canary Is.,1.324,0.559,0.412,0.235,0.647,0.076
4057,Theridiidae,Echinotheridion_gibberosum,male,Canary Is.,1.206,0.471,0.471,0.176,0.647,0.076
96,Theridiidae,Echinotheridion_gibberosum,female,Canary Is.,1.824,0.824,0.735,0.235,1.000,0.061
96,Theridiidae,Echinotheridion_gibberosum,female,Canary Is.,1.618,0.647,0.618,0.235,0.765,_
96,Theridiidae,Echinotheridion_gibberosum,female,Canary Is.,1.794,0.735,0.706,0.235,0.882,_
96,Theridiidae,Echinotheridion_gibberosum,female,Canary Is.,1.206,0.559,0.559,0.206,0.676,_
96,Theridiidae,Echinotheridion_gibberosum,female,Canary Is.,1.059,0.441,0.441,0.176,0.441,_
4057,Theridiidae,Echinotheridion_gibberosum,female,Canary Is.,1.706,0.706,0.647,0.235,0.882,0.061
3015,Theridiidae,Enoplognatha_sattleri ,male,Canary Is.,3.591,1.636,1.364,0.455,1.864,0.932
3016,Theridiidae,Enoplognatha_sattleri ,male,Canary Is.,3.364,1.591,1.273,0.364,_,0.659
3020,Theridiidae,Enoplognatha_sattleri ,female,Canary Is.,4.741,1.926,1.556,0.481,_,_
14726,Theridiidae,Enoplognatha_sattleri ,female,Canary Is.,4.180,1.710,1.350,0.470,1.650,1.410
PA2PF,Theridiidae,Enoplognatha_thoracica,male,Iberian Pen.,2.400,0.980,0.780,_,_,_
PP1PB,Theridiidae,Enoplognatha_thoracica,male,Iberian Pen.,2.590,1.190,0.920,_,_,_
PP2PG,Theridiidae,Enoplognatha_thoracica,male,Iberian Pen.,3.810,1.780,1.340,0.620,1.180,0.520
PP3A2N1,Theridiidae,Enoplognatha_thoracica,male,Iberian Pen.,6.270,3.020,2.330,_,_,_
PP4PE,Theridiidae,Enoplognatha_thoracica,male,Iberian Pen.,3.150,1.460,1.130,_,_,_
PA2PF,Theridiidae,Enoplognatha_thoracica,female,Iberian Pen.,2.700,1.250,0.910,0.430,0.870,0.820
PP4S1N1,Theridiidae,Enoplognatha_thoracica,female,Iberian Pen.,3.750,1.520,1.230,_,_,_
PO1B1N1,Linyphidae,Entelecara_acuminata,male,Iberian Pen.,1.820,0.770,0.670,0.490,_,0.110
PO1S1N2,Linyphidae,Entelecara_acuminata,male,Iberian Pen.,_,0.840,0.690,0.560,_,0.110
PO1B1N1,Linyphidae,Entelecara_acuminata,female,Iberian Pen.,1.680,0.760,0.640,0.290,_,0.140
PO2B1D1,Linyphidae,Entelecara_acuminata,female,Iberian Pen.,_,0.810,0.640,0.270,0.570,0.130
PO2B2D1,Linyphidae,Entelecara_acuminata,female,Iberian Pen.,_,0.800,0.640,0.250,0.610,0.100
PO2S2D1,Linyphidae,Entelecara_acuminata,female,Iberian Pen.,1.970,0.760,0.610,0.240,_,0.110
S02,Linyphiidae,Entelecara_schmitzi,male,Madeira,1.794,_,_,_,_,_
S02,Linyphiidae,Entelecara_schmitzi,male,Madeira,1.529,_,_,_,_,_
S01,Linyphiidae,Entelecara_schmitzi,male,Madeira,1.971,_,_,_,_,_
S03,Linyphiidae,Entelecara_schmitzi,male,Madeira,1.353,_,_,_,_,_
S04,Linyphiidae,Entelecara_schmitzi,male,Madeira,1.941,0.794,0.647,0.235,0.853,0.182
S01,Linyphiidae,Entelecara_schmitzi,female,Madeira,1.853,_,_,_,_,_
S01,Linyphiidae,Entelecara_schmitzi,female,Madeira,2.176,_,_,_,_,_
S02,Linyphiidae,Entelecara_schmitzi,female,Madeira,1.765,_,_,_,_,_
S03,Linyphiidae,Entelecara_schmitzi,female,Madeira,2.059,0.765,0.618,0.206,0.882,0.152
PC1B1N2,Theridiidae,Episinus_algiricus,male,Iberian Pen.,3.730,1.420,1.210,_,_,_
PC3A1N1,Theridiidae,Episinus_algiricus,male,Iberian Pen.,3.510,1.340,1.170,_,_,_
PC3B1N1,Theridiidae,Episinus_algiricus,male,Iberian Pen.,3.650,1.360,1.190,0.430,3.370,0.170
PM1A1N1,Theridiidae,Episinus_algiricus,male,Iberian Pen.,3.620,1.360,1.300,_,_,_
PM1A2N1,Theridiidae,Episinus_algiricus,male,Iberian Pen.,3.840,1.480,1.240,_,_,_
PC1A1N1,Theridiidae,Episinus_algiricus,female,Iberian Pen.,4.060,1.590,1.360,_,_,_
PC3S1D1,Theridiidae,Episinus_algiricus,female,Iberian Pen.,4.190,1.520,1.310,0.440,2.120,0.180
PM1A1N1,Theridiidae,Episinus_algiricus,female,Iberian Pen.,5.070,1.840,1.450,_,_,_
PM1B2D1,Theridiidae,Episinus_algiricus,female,Iberian Pen.,4.890,1.710,1.430,_,_,_
PM2B1N1,Theridiidae,Episinus_algiricus,female,Iberian Pen.,4.010,1.620,1.370,_,_,_
PA1A2N1,Theridiidae,Episinus_maculipes,male,Iberian Pen.,4.220,1.580,1.520,_,_,_
PA1A2N2,Theridiidae,Episinus_maculipes,male,Iberian Pen.,4.160,1.670,1.580,0.450,3.170,0.180
PO2A2N2,Theridiidae,Episinus_maculipes,male,Iberian Pen.,3.770,1.270,1.280,_,_,_
PO1A2N2,Theridiidae,Episinus_maculipes,female,Iberian Pen.,5.050,1.810,1.680,0.650,2.450,0.220
PO2A1N2,Theridiidae,Episinus_maculipes,female,Iberian Pen.,4.990,1.700,1.560,_,_,_
PO2A2N1,Theridiidae,Episinus_maculipes,female,Iberian Pen.,4.770,1.640,1.490,0.460,2.040,_
PO2A2N2,Theridiidae,Episinus_maculipes,female,Iberian Pen.,4.480,1.610,1.560,_,_,_
3638,Theridiidae,Episinus_maderianus,male,Canary Is.,3.176,1.176,1.118,0.353,2.647,0.106
3638,Theridiidae,Episinus_maderianus,male,Canary Is.,3.294,1.118,1.176,0.412,2.647,0.121
3638,Theridiidae,Episinus_maderianus,male,Canary Is.,3.000,1.118,1.118,0.412,2.412,0.106
3638,Theridiidae,Episinus_maderianus,male,Canary Is.,2.882,1.059,1.118,0.353,2.647,0.091
3638,Theridiidae,Episinus_maderianus,male,Canary Is.,2.882,1.176,1.059,0.412,2.588,0.136
3754,Theridiidae,Episinus_maderianus,female,Canary Is.,3.882,1.294,1.294,0.471,1.706,0.091
3754,Theridiidae,Episinus_maderianus,female,Canary Is.,4.059,1.294,1.235,0.471,1.647,0.167
3754,Theridiidae,Episinus_maderianus,female,Canary Is.,3.588,1.294,1.294,0.471,1.824,0.136
3754,Theridiidae,Episinus_maderianus,female,Canary Is.,3.882,1.235,1.235,0.412,1.647,0.106
3754,Theridiidae,Episinus_maderianus,female,Canary Is.,4.176,1.294,1.294,0.529,1.765,0.121
PP1S1N2,Theridiidae,Episinus_theridioides,male,Iberian Pen.,_,1.030,0.910,_,_,_
PP4A1N1,Theridiidae,Episinus_theridioides,male,Iberian Pen.,2.680,1.090,0.980,0.400,2.090,0.150
PP4A1N2,Theridiidae,Episinus_theridioides,male,Iberian Pen.,2.690,1.130,1.050,_,_,_
PP1S1N1,Theridiidae,Episinus_theridioides,female,Iberian Pen.,3.540,1.220,1.160,0.440,1.450,_
PP2A2N1,Theridiidae,Episinus_theridioides,female,Iberian Pen.,2.830,1.230,1.170,0.370,1.540,0.150
PP2S1N1,Theridiidae,Episinus_theridioides,female,Iberian Pen.,3.050,1.250,1.230,_,_,_
PP4A2N1,Theridiidae,Episinus_theridioides,female,Iberian Pen.,3.050,1.200,1.160,_,_,_
PO2PK,Theridiidae,Episinus_truncatus,male,Iberian Pen.,4.080,1.520,1.270,0.600,2.460,0.170
PA2A1N1,Theridiidae,Episinus_truncatus,female,Iberian Pen.,2.610,1.420,1.220,_,_,_
PC1PB,Theridiidae,Episinus_truncatus,female,Iberian Pen.,_,1.340,1.100,_,_,_
PS2PL,Agelenidae,Eratigena_feminea,male,Iberian Pen.,6.857,3.714,2.643,1.000,3.500,1.000
PC1PA,Agelenidae,Eratigena_feminea,female,Iberian Pen.,8.071,4.000,3.000,1.000,2.929,1.222
PP2PK,Agelenidae,Eratigena_fuesslini,male,Iberian Pen.,7.500,3.214,2.500,1.000,4.429,1.000
PO2PL,Agelenidae,Eratigena_fuesslini,male,Iberian Pen.,7.857,4.286,3.071,1.000,3.429,1.074
PA2A2N1,Agelenidae,Eratigena_fuesslini,male,Iberian Pen.,6.429,3.357,2.571,0.571,3.857,0.926
PA1PF,Agelenidae,Eratigena_fuesslini,male,Iberian Pen.,5.714,3.000,2.286,0.500,_,0.704
PP4PH,Agelenidae,Eratigena_fuesslini,female,Iberian Pen.,6.429,2.929,2.000,0.714,2.500,0.815
PO2PE,Agelenidae,Eratigena_fuesslini,female,Iberian Pen.,8.929,3.929,2.571,1.000,3.357,1.111
PO2PI,Agelenidae,Eratigena_fuesslini,female,Iberian Pen.,8.000,3.286,2.357,0.786,2.857,1.000
PA1PJ,Agelenidae,Eratigena_fuesslini,female,Iberian Pen.,6.357,3.143,2.357,0.571,2.857,0.815
PP1A1N2,Agelenidae,Eratigena_inermis,male,Iberian Pen.,7.929,3.429,2.857,0.786,5.714,0.705
PP4A2N1,Agelenidae,Eratigena_inermis,male,Iberian Pen.,_,4.143,2.929,0.500,_,1.000
PP2A2N2,Agelenidae,Eratigena_inermis,male,Iberian Pen.,8.643,4.214,2.929,0.714,7.429,1.023
PP2PH,Agelenidae,Eratigena_inermis,male,Iberian Pen.,8.714,4.214,2.857,0.929,7.571,1.068
PP1G1D1,Agelenidae,Eratigena_inermis,female,Iberian Pen.,15.465,5.214,3.429,1.214,6.714,1.341
PP2S1N2,Agelenidae,Eratigena_inermis,female,Iberian Pen.,13.488,5.286,3.786,1.214,6.929,1.409
PP1G1D1,Agelenidae,Eratigena_inermis,female,Iberian Pen.,10.182,3.500,2.429,0.786,4.714,1.273
PP1G1D1,Agelenidae,Eratigena_inermis,female,Iberian Pen.,11.727,5.000,3.357,1.071,6.071,1.159
PP1PJ,Agelenidae,Eratigena_inermis,female,Iberian Pen.,9.143,4.286,3.214,0.500,_,1.159
PP3PG,Agelenidae,Eratigena_montigena,male,Iberian Pen.,8.429,4.143,2.857,0.786,4.929,1.111
PP3PF,Agelenidae,Eratigena_montigena,male,Iberian Pen.,10.286,5.500,3.786,1.071,_,1.333
PC4PG,Agelenidae,Eratigena_montigena,male,Iberian Pen.,7.500,3.429,2.429,0.500,_,0.815
PC4PF,Agelenidae,Eratigena_montigena,male,Iberian Pen.,8.214,4.286,2.714,0.714,5.071,1.148
PM2PJ,Agelenidae,Eratigena_montigena,male,Iberian Pen.,10.000,4.786,3.286,0.714,6.643,1.444
PP1PB,Agelenidae,Eratigena_montigena,female,Iberian Pen.,7.571,3.857,2.571,0.857,_,0.963
PM2PK,Agelenidae,Eratigena_montigena,female,Iberian Pen.,8.643,4.571,2.857,1.214,5.071,1.481
PC2PG,Agelenidae,Eratigena_montigena,female,Iberian Pen.,14.214,6.929,4.714,1.286,_,1.889
PP1PK,Agelenidae,Eratigena_montigena,female,Iberian Pen.,13.143,5.643,3.786,1.071,4.429,1.481
PM2A2N2,Agelenidae,Eratigena_montigena,female,Iberian Pen.,11.214,5.143,3.214,0.857,5.357,1.481
PP3PB,Agelenidae,Eratigena_picta,male,Iberian Pen.,5.591,2.727,2.182,0.364,3.273,0.591
PO2S1N1,Agelenidae,Eratigena_picta,male,Iberian Pen.,6.045,2.955,2.273,0.545,3.545,0.727
PS2PH,Agelenidae,Eratigena_picta,male,Iberian Pen.,5.045,2.636,1.909,0.318,3.273,0.659
PC1PG,Agelenidae,Eratigena_picta,male,Iberian Pen.,3.773,1.955,1.545,0.409,2.045,0.500
PA2PI,Agelenidae,Eratigena_picta,male,Iberian Pen.,4.273,2.182,1.591,0.455,2.136,0.568
PS2PK,Agelenidae,Eratigena_picta,female,Iberian Pen.,5.227,1.955,1.409,0.318,_,0.545
PM2PE,Agelenidae,Eratigena_picta,female,Iberian Pen.,4.455,2.045,1.455,0.318,_,0.432
PC1PG,Agelenidae,Eratigena_picta,female,Iberian Pen.,4.500,1.773,0.955,0.318,_,0.409
PA1G2N1,Agelenidae,Eratigena_picta,female,Iberian Pen.,4.409,1.909,1.409,0.364,1.500,0.500
PO2PA,Agelenidae,Eratigena_picta,female,Iberian Pen.,_,2.455,1.773,0.318,_,0.614
34,Linyphiidae,Erigone_atra,male,Azores,1.818,0.864,0.682,0.250,0.795,0.182
34,Linyphiidae,Erigone_atra,male,Azores,1.750,0.841,0.682,0.432,0.682,0.227
34,Linyphiidae,Erigone_atra,male,Azores,1.705,0.841,0.636,0.409,0.659,0.212
34,Linyphiidae,Erigone_atra,male,Azores,1.591,0.773,0.636,0.432,0.659,0.227
34,Linyphiidae,Erigone_atra,male,Azores,1.795,0.841,0.682,0.341,0.659,0.227
34,Linyphiidae,Erigone_atra,female,Azores,2.045,0.795,0.636,0.364,0.636,0.227
34,Linyphiidae,Erigone_atra,female,Azores,1.932,0.795,0.636,0.318,0.614,0.212
34,Linyphiidae,Erigone_atra,female,Azores,2.159,0.818,0.659,0.341,0.659,0.227
34,Linyphiidae,Erigone_atra,female,Azores,2.023,0.795,0.659,0.318,0.659,0.212
34,Linyphiidae,Erigone_atra,female,Azores,1.795,0.773,0.636,0.295,0.591,0.197
234,Linyphiidae,Erigone_autumnalis,male,Azores,1.341,0.614,0.455,0.159,0.432,0.152
234,Linyphiidae,Erigone_autumnalis,male,Azores,1.205,0.591,0.432,0.136,0.386,0.152
234,Linyphiidae,Erigone_autumnalis,male,Azores,1.227,0.591,0.432,0.136,0.432,0.152
234,Linyphiidae,Erigone_autumnalis,male,Azores,1.136,0.545,0.432,0.114,0.386,0.136
234,Linyphiidae,Erigone_autumnalis,male,Azores,1.295,0.591,0.432,0.136,0.455,0.152
234,Linyphiidae,Erigone_autumnalis,female,Azores,1.318,0.500,0.432,0.114,0.364,0.136
234,Linyphiidae,Erigone_autumnalis,female,Azores,1.455,0.568,0.432,0.136,0.364,0.136
234,Linyphiidae,Erigone_autumnalis,female,Azores,1.477,0.545,0.409,0.136,0.386,0.136
234,Linyphiidae,Erigone_autumnalis,female,Azores,1.386,0.545,0.409,0.136,0.341,0.136
234,Linyphiidae,Erigone_autumnalis,female,Azores,1.477,0.545,0.409,0.136,0.341,0.136
PM2B1N2,Linyphidae,Erigone_dentipalpis,male,Iberian Pen.,_,1.060,0.810,0.500,0.700,0.240
PICO_246_S1,Linyphidae,Erigone_dentipalpis ,male,Azores,1.938,0.969,0.800,0.300,0.700,0.200
PICO_246_S1,Linyphidae,Erigone_dentipalpis ,female,Azores,2.340,1.063,0.760,0.340,0.700,0.183
PC1B1D1,Mimetidae,Ero_aphana,male,Iberian Pen.,2.330,1.170,1.000,1.050,2.250,0.120
PC2A1N2,Mimetidae,Ero_aphana,male,Iberian Pen.,2.480,_,_,_,_,_
PO2S1N1,Mimetidae,Ero_aphana,male,Iberian Pen.,2.660,_,_,_,_,_
PP2A1N2,Mimetidae,Ero_aphana,male,Iberian Pen.,2.080,_,_,_,_,_
PP2A2N2,Mimetidae,Ero_aphana,male,Iberian Pen.,2.180,_,_,_,_,_
S02,Mimetidae,Ero_aphana,male,Madeira,2.455,1.045,0.864,0.409,1.682,0.121
PP4B1N1,Mimetidae,Ero_aphana,female,Iberian Pen.,2.530,_,_,_,_,_
PP2S1N1,Mimetidae,Ero_aphana,female,Iberian Pen.,2.630,1.220,1.020,1.080,1.800,0.130
PC4B1D1,Mimetidae,Ero_aphana,female,Iberian Pen.,2.660,_,_,_,_,_
PC4S1D1,Mimetidae,Ero_aphana,female,Iberian Pen.,2.860,_,_,_,_,_
PC1S2D1,Mimetidae,Ero_aphana,female,Iberian Pen.,2.250,_,_,_,_,_
S01,Mimetidae,Ero_aphana,female,Madeira,2.682,1.136,0.955,0.409,1.773,0.152
3050,Mimetidae,Ero_cambridgei,male,Canary Is.,3.059,1.588,1.412,0.853,3.206,0.136
3051,Mimetidae,Ero_cambridgei,male,Canary Is.,3.353,1.647,1.382,0.500,_,0.106
3053,Mimetidae,Ero_cambridgei,male,Canary Is.,2.529,1.147,1.147,0.706,_,0.136
3049,Mimetidae,Ero_cambridgei,female,Canary Is.,2.529,1.000,0.941,0.471,_,0.106
3052,Mimetidae,Ero_cambridgei,female,Canary Is.,3.029,1.500,1.176,0.824,2.765,0.136
140,Mimetidae,Ero_furcata,male,Azores,3.227,1.409,1.182,0.455,2.455,0.152
140,Mimetidae,Ero_furcata,male,Azores,3.182,1.500,1.227,0.545,2.591,0.152
140,Mimetidae,Ero_furcata,male,Azores,2.682,1.318,1.136,0.364,2.182,0.152
140,Mimetidae,Ero_furcata,male,Azores,3.045,1.364,1.091,0.455,2.182,0.152
140,Mimetidae,Ero_furcata,female,Azores,3.773,1.500,1.273,0.455,2.045,0.182
140,Mimetidae,Ero_furcata,female,Azores,3.455,1.409,1.045,0.364,1.818,0.152
140,Mimetidae,Ero_furcata,female,Azores,2.000,0.955,0.818,0.273,1.136,0.121
140,Mimetidae,Ero_furcata,female,Azores,3.455,1.273,1.091,0.455,1.773,0.167
140,Mimetidae,Ero_furcata,female,Azores,2.909,1.364,1.091,0.409,1.864,0.167
12752,Mimetidae,Ero_tuberculata,male,Canary Is.,2.410,_,_,_,_,_
12874,Mimetidae,Ero_tuberculata,male,Canary Is.,2.270,_,_,_,_,_
14633,Mimetidae,Ero_tuberculata,male,Canary Is.,2.770,1.270,1.180,0.410,2.680,0.150
PC1B1N2,Mimetidae,Ero_tuberculata,female,Iberian Pen.,2.470,1.250,0.980,1.000,1.880,0.150
PC1S2D1,Mimetidae,Ero_tuberculata,female,Iberian Pen.,_,_,_,_,_,_
12874,Mimetidae,Ero_tuberculata,female,Canary Is.,2.950,_,_,_,_,_
14652,Mimetidae,Ero_tuberculata,female,Canary Is.,2.910,_,_,_,_,_
14652,Mimetidae,Ero_tuberculata,female,Canary Is.,2.320,_,_,_,_,_
4980,Mimetidae,Ero_tuberculata,female,Canary Is.,2.950,_,_,_,_,_
3106,Mimetidae,Ero_tuberculata,female,Canary Is.,3.037,1.481,1.185,0.815,_,0.152
PA1PF,Salticidae,Euophrys_frontalis,male,Iberian Pen.,3.440,1.750,1.230,_,_,_
PA1PI,Salticidae,Euophrys_frontalis,male,Iberian Pen.,4.260,1.990,1.430,_,_,_
PA2PA,Salticidae,Euophrys_frontalis,male,Iberian Pen.,3.100,1.500,1.120,0.700,0.630,0.240
PA1PI,Salticidae,Euophrys_frontalis,female,Iberian Pen.,2.950,1.520,1.070,_,_,_
PA2PJ,Salticidae,Euophrys_frontalis,female,Iberian Pen.,4.150,1.830,1.290,_,_,_
PA2S1N2,Salticidae,Euophrys_frontalis,female,Iberian Pen.,4.360,1.810,1.400,0.780,1.000,0.250
PP2S1N2,Salticidae,Euophrys_frontalis,female,Iberian Pen.,3.830,1.790,1.230,_,_,_
PC2PK,Salticidae,Euophrys_herbigrada,male,Iberian Pen.,2.780,1.410,1.040,0.720,0.500,0.200
PS1PI,Salticidae,Euophrys_Salticidae30,male,Iberian Pen.,3.000,1.530,1.120,0.770,0.530,0.210
PP2PB,Theridiidae,Euryopis_flavomaculata,male,Iberian Pen.,2.960,1.260,1.290,_,_,_
PP2PD,Theridiidae,Euryopis_flavomaculata,male,Iberian Pen.,3.130,1.210,1.180,0.550,0.610,0.280
PP2PF,Theridiidae,Euryopis_flavomaculata,male,Iberian Pen.,3.000,1.370,1.300,_,_,_
PP2PG,Theridiidae,Euryopis_flavomaculata,male,Iberian Pen.,2.970,1.220,1.250,_,_,_
PP2PH,Theridiidae,Euryopis_flavomaculata,male,Iberian Pen.,3.160,1.420,1.340,_,_,_
PP4PA,Theridiidae,Euryopis_flavomaculata,female,Iberian Pen.,3.040,1.200,1.190,0.430,0.770,0.270
PC3PH,Theridiidae,Euryopis_sexalbomaculata,male,Iberian Pen.,_,0.960,0.940,_,_,_
PM2PA,Theridiidae,Euryopis_sexalbomaculata,male,Iberian Pen.,2.610,1.110,1.060,_,_,_
PS1PL,Theridiidae,Euryopis_sexalbomaculata,male,Iberian Pen.,2.270,0.930,0.950,_,_,_
PS2PA,Theridiidae,Euryopis_sexalbomaculata,male,Iberian Pen.,2.500,1.020,1.020,0.520,0.570,0.170
PS2PC,Theridiidae,Euryopis_sexalbomaculata,male,Iberian Pen.,2.650,1.130,1.020,_,_,_
PS2PA,Theridiidae,Euryopis_sexalbomaculata,female,Iberian Pen.,_,1.020,0.980,0.250,0.560,0.160
PM1PI,Sparassidae,Eusparassus_dufouri,male,Iberian Pen.,15.110,7.600,6.500,_,_,_
PM2A1N2,Sparassidae,Eusparassus_dufouri,male,Iberian Pen.,16.890,7.410,6.580,1.830,8.970,1.410
PM1A1N1,Sparassidae,Eusparassus_dufouri,female,Iberian Pen.,17.980,7.500,6.840,_,_,_
PM2A2N1,Sparassidae,Eusparassus_dufouri,female,Iberian Pen.,22.480,8.460,7.940,2.590,8.760,2.080
PO1B2D1,Salticidae,Evarcha_arcuata,male,Iberian Pen.,4.990,2.620,1.940,1.470,1.220,0.470
PO1B2D1,Salticidae,Evarcha_arcuata,male,Iberian Pen.,4.340,2.180,1.770,_,_,_
PO1S1N1,Salticidae,Evarcha_arcuata,female,Iberian Pen.,6.620,2.810,2.270,1.500,2.180,0.400
PO1S1N1,Salticidae,Evarcha_arcuata,female,Iberian Pen.,6.850,2.550,1.940,_,_,_
PA1S1N2,Salticidae,Evarcha_falcata,male,Iberian Pen.,4.360,2.230,1.640,1.010,1.430,0.380
PA1S1N2,Salticidae,Evarcha_falcata,male,Iberian Pen.,4.940,2.600,1.920,_,_,_
PP2S1N2,Salticidae,Evarcha_falcata,male,Iberian Pen.,4.780,2.450,1.830,_,_,_
PP4B1N2,Salticidae,Evarcha_falcata,male,Iberian Pen.,5.220,2.720,1.960,_,_,_
PP4S2D1,Salticidae,Evarcha_falcata,male,Iberian Pen.,4.840,2.430,1.900,_,_,_
PA1S1N2,Salticidae,Evarcha_falcata,female,Iberian Pen.,6.850,2.680,1.980,1.210,1.950,0.480
PA1S1N2,Salticidae,Evarcha_falcata,female,Iberian Pen.,6.540,2.720,1.930,_,_,_
PP2S1D1,Salticidae,Evarcha_falcata,female,Iberian Pen.,6.610,2.590,1.960,_,_,_
PP3S1N1,Salticidae,Evarcha_falcata,female,Iberian Pen.,6.830,2.790,2.130,_,_,_
PP3S1N1,Salticidae,Evarcha_falcata,female,Iberian Pen.,7.830,2.940,2.200,_,_,_
PC4PL,Salticidae,Evarcha_jucunda,male,Iberian Pen.,5.740,2.740,2.120,1.350,1.370,0.460
S03,Linyphiidae,Frontinellina_dearmata,male,Madeira,3.471,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,male,Madeira,3.235,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,male,Madeira,3.059,1.353,0.882,0.353,2.588,0.288
S03,Linyphiidae,Frontinellina_dearmata,male,Madeira,2.824,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,male,Madeira,2.529,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,female,Madeira,4.059,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,female,Madeira,4.000,1.412,1.000,0.353,2.059,0.333
S03,Linyphiidae,Frontinellina_dearmata,female,Madeira,3.941,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,female,Madeira,4.176,_,_,_,_,_
S03,Linyphiidae,Frontinellina_dearmata,female,Madeira,3.647,_,_,_,_,_
PO2S1N1,Linyphidae,Frontinellina_frutetorum,male,Iberian Pen.,3.600,1.780,1.250,_,_,_
PP2S1N1,Linyphidae,Frontinellina_frutetorum,male,Iberian Pen.,3.790,1.730,1.200,0.510,2.160,0.330
PP2S2D1,Linyphidae,Frontinellina_frutetorum,male,Iberian Pen.,_,1.510,1.120,_,_,_
PP4S1D1,Linyphidae,Frontinellina_frutetorum,male,Iberian Pen.,3.960,1.940,1.340,0.620,_,0.400
PP4S2D1,Linyphidae,Frontinellina_frutetorum,male,Iberian Pen.,4.240,2.070,1.380,_,_,_
PC1S2D1,Linyphidae,Frontinellina_frutetorum,female,Iberian Pen.,4.800,1.640,1.130,_,_,_
PC3S1N2,Linyphidae,Frontinellina_frutetorum,female,Iberian Pen.,4.640,1.860,1.230,_,_,_
PO2A1N1,Linyphidae,Frontinellina_frutetorum,female,Iberian Pen.,_,1.640,1.130,_,_,_
PP2A2N1,Linyphidae,Frontinellina_frutetorum,female,Iberian Pen.,4.350,1.880,1.370,0.580,2.030,0.370
